Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
High income,HIC,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,22374.3254750161,22083.4201672758,22929.756695357,25606.6766440821,28451.5065479041,30051.3459550589,31710.7967236991,34666.0451564196,36900.1405697145,34111.8446047683,35778.2487328682,38785.8817355705,38693.845536167,39008.3249033591,39447.7093246608,36586.4346902662,37057.8096501124,38776.5615949516,41094.8560877186,41342.2066107349,40108.2348602411,45081.6648348438,46553.1150181383,48608.1947665895,50302.6052129514
High income,HIC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,1.5,1.3,1.1,1.1,1,0.9,0.8,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.8,0.7,0.6,0.7,0.6,0.6,0.4,0.4,0.7,0.6,0.6
Honduras,HND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,14.840625,15.476825,16.4370583333333,17.3524916666667,18.209725,18.8323416666667,18.8952083333333,18.8951,18.9037583333333,18.8951,18.8951,18.9171416666667,19.5022495121615,20.3537791666667,20.9871583333333,21.945175,22.835018390426,23.4870839434552,23.9027282925432,24.5085389148926,24.5818805172846,24.0166553242681,24.4858737291131,24.6016468236818,24.7992824415521
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,1092.56400746252,1132.1648753329,1132.49965345317,1156.08162681357,1215.13995412761,1304.70039153826,1425.84780051892,1577.73789197407,1732.49062702803,1781.15703614674,1893.32722662035,2073.66121088074,2126.03474686503,2081.12843527945,2179.88171977271,2271.20265980349,2307.34468351082,2413.0076562942,2464.64241531918,2502.32744328073,2307.61494319511,2735.14751503977,3003.28996826399,3227.45762509776,3426.43483328923
Honduras,HND,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,26.5,29,34,33.3,31.3,27.3,22,20.9,18.1,19.6,20.1,24,20.8,20.6,19.9,19.8,19.3,19.8,18.8,..,..,..,17,15.7
"Hong Kong SAR, China",HKG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,7.79116666666667,7.79875,7.79891666666667,7.78675,7.788,7.77733333333333,7.76783333333333,7.80141666666666,7.78683333333333,7.75175,7.76916666666667,7.784,7.75641666666666,7.756,7.75408333333333,7.75175,7.76225,7.79325,7.8385,7.83591666666667,7.75725,7.77325,7.83141666666666,7.82958333333333,7.80383333333334
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,25756.7728723704,25230.3780910304,24665.8362318216,23977.1734120477,24928.1003722551,26649.637724155,28224.0951563146,30593.9511738646,31515.5292103443,30697.5383861641,32550.136489179,35142.4879344543,36730.796195815,38403.7777145477,40315.3739510191,42432.1619740441,43734.1980702999,46160.429791493,48537.5668888343,48359.0011950597,46109.2299946609,49770.5642374739,48825.8441873536,50562.3633144379,54074.6928519479
"Hong Kong SAR, China",HKG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,282.179166666667,286.49,257.886666666667,224.306666666667,202.745833333333,199.5825,210.39,183.625833333333,172.113333333333,202.341666666667,207.944166666667,201.055,225.104166666667,223.695,232.601666666667,279.3325,281.523333333333,274.433333333333,270.211666666667,290.66,307.996666666667,303.140833333333,372.595833333333,353.088333333333,365.690833333333
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,4629.91760812548,5280.94887987063,6658.04494326809,8410.09248198479,10291.2694721409,11212.2046968994,11478.4891640501,13934.605460375,15762.6322515113,13051.1831777184,13189.8433874768,14211.460557822,12950.1594488143,13739.4620151401,14352.501883174,12782.9412577973,13215.8605277789,14736.1668157258,16605.0570511887,17012.8598553199,16386.9308821258,19030.628130329,18428.028825614,22230.6277875187,23292.3263882478
